Date : 2025-07-09 15:40:50
Directory : d:\app2
Total : 105 files,  12779 codes, 4573 comments, 1852 blanks, all 19204 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php      | PHP        |         20 |          4 |          3 |         27 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php      | PHP        |         28 |          5 |          3 |         36 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php      | PHP        |         28 |          5 |          3 |         36 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php      | PHP        |         22 |          4 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php      | PHP        |         27 |          7 |          3 |         37 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php      | PHP        |         22 |          4 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php      | PHP        |         27 |          4 |          3 |         34 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php      | PHP        |         20 |          4 |          3 |         27 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php      | PHP        |         27 |          7 |          3 |         37 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php      | PHP        |         20 |          6 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php      | PHP        |         20 |          6 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php      | PHP        |         13 |         12 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php      | PHP        |         13 |         12 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php      | PHP        |         27 |          7 |          3 |         37 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php      | PHP        |         27 |          6 |          3 |         36 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php      | PHP        |         22 |          7 |          3 |         32 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php      | PHP        |         20 |          6 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php      | PHP        |         27 |          8 |          3 |         38 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ku.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php      | PHP        |         20 |          5 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php      | PHP        |         27 |          4 |          3 |         34 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php      | PHP        |         27 |          5 |          3 |         35 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php      | PHP        |         27 |          4 |          3 |         34 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php      | PHP        |         27 |          5 |          3 |         35 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php   | PHP        |         27 |          9 |          3 |         39 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php      | PHP        |         27 |          4 |          3 |         34 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php      | PHP        |         27 |          7 |          3 |         37 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-si.php      | PHP        |         27 |          5 |          3 |         35 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php      | PHP        |         22 |          6 |          3 |         31 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php      | PHP        |         27 |          7 |          3 |         37 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php      | PHP        |         20 |          6 |          3 |         29 |
